Nomor_Mitra,ID_Posisi,Nama_Posisi,Nama_Mitra,Nama_Kegiatan,Kuota_Posisi,Lokasi_Bekerja,Tipe_Aktivitas,URL_Logo,Mulai_Periode,Berakhir_Periode,Mulai_Pendaftaran,Berakhir_Pendaftaran,SKS_Diberikan,Kode_Lokasi,ID_Mitra,Kegiatan_Bersertifikat
1066,1b2ff9ee-810e-11ed-b579-e28bf6b6d14d,Homepage Intern,Lazada,Program Magang Lazada Indonesia Commercial [Jakarta],2,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_53a72f64-8e58-40c0-810d-1828e1b0aab1.jpg,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-21T07:00:00+07:00,2023-02-16T07:00:00+07:00,20,016300,aed64ced-1c3e-40f4-8c92-3fae1469cbc4,True
1067,717307ce-7606-11ed-8c3c-3eca353efbd3,Housekeeping Training,The Royal Santrian Luxury Beach Villas,Magang Bersertifikat Pariwisata Perhotelan,5,Kab. Badung,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b555ebbc-732f-418e-840e-4dbc8808865e.png,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2023-01-01T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,220400,87c66d10-4380-4c12-895c-61bcb10e0067,True
1068,5abd3509-809d-11ed-bf55-e28bf6b6d14d,HR,Kompas Gramedia,"Kompas Gramedia - Dyandra: MICE (Meetings, Incentives, Conferences, Exhibitions) ",2,Kota Jakarta Pusat,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-26T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,016000,c8bece01-8738-4a37-90f9-3d0302da1cd7,True
1069,1b4eb4d1-806e-11ed-be97-9aeeab388a33,HR,Vidio,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,4,Kota Jakarta Pusat,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_805c82cb-fe4b-47f2-8cbf-054b6e40cb33.png,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2023-01-16T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,016000,8bb8fd87-8e0e-41b8-bcc4-a924fbae04f9,True
1070,0c114105-760e-11ed-9884-aab4c2c7d0e5,HR Admin,The Royal Santrian Luxury Beach Villas,Magang Bersertifikat Pariwisata Perhotelan,2,Kab. Badung,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b555ebbc-732f-418e-840e-4dbc8808865e.png,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2023-01-01T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,220400,87c66d10-4380-4c12-895c-61bcb10e0067,True
1071,7ed42732-6caa-11ed-8441-22d0c8df9d48,HR Administrator,Alfamidi,ARCHIVE MANAGEMENT OF EMPLOYMENT,2,Kota Tangerang,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_2c238d7b-1e65-4e87-9fc1-68573e234f74.jpg,2023-02-10T07:00:00+07:00,2023-07-01T07:00:00+07:00,2022-12-22T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,286100,0948c9f3-2059-465a-b344-f12f1a66077d,True
1072,8b58c43c-7ea0-11ed-b756-c6fe83fcca68,HR Analyst ,Berau Coal,21 : HR Business Process Improvement,1,Kab. Berau,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_2ff77b56-98de-4831-a033-f819bb3d605c.jpg,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-17T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,160300,ec0dd4db-c8de-4171-8079-46070738ce4a,True
1073,a69cc50b-8049-11ed-82a8-2615bc75a6a3,HRBP Intern,Lazada,Program Magang Lazada Logistics Indonesia [Cimanggis],3,Kota Depok,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_53a72f64-8e58-40c0-810d-1828e1b0aab1.jpg,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-21T07:00:00+07:00,2023-02-16T07:00:00+07:00,20,026600,aed64ced-1c3e-40f4-8c92-3fae1469cbc4,True
1074,918fec17-80df-11ed-bf55-e28bf6b6d14d,HRBP Intern,Lazada,Program Magang Lazada Indonesia Non Commercial [Jakarta],1,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_53a72f64-8e58-40c0-810d-1828e1b0aab1.jpg,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-21T07:00:00+07:00,2023-02-16T07:00:00+07:00,20,016300,aed64ced-1c3e-40f4-8c92-3fae1469cbc4,True
1075,2a307985-6b3b-11ed-8147-a2c3ec1c6e84,HRBP SCM & RND Intern,Paragon Technology and Innovation,Human Resources Corporate Affairs Directorate,1,Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png,2023-02-16T07:00:00+07:00,2023-07-01T07:00:00+07:00,2023-01-15T07:00:00+07:00,2023-02-10T07:00:00+07:00,20,,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,True
