Nomor_Mitra,ID Posisi,Nama Posisi,Nama Mitra,Nama Kegiatan,Quota Posisi,Lokasi Bekerja,Tipe Aktivitas,URL Logo,Mulai Periode,Berakhir Periode,Mulai Pendaftaran,Berakhir Pendaftaran,SKS Diberikan,Kode Lokasi,ID Mitra,Kegiatan Bersertifikat
1,6a7bbbab-7508-11ed-b2a2-1a198d2f4c14,2D/3D Animator Intern,BNI,BNI Digital Talent Thematic Internship,13,Kota Jakarta Barat,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_642f3ae3-5162-4f40-aba6-e0c819df5f56.jpg,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-29T07:00:00+07:00,2023-01-20T07:00:00+07:00,20,016200,1434cd57-6295-441a-898a-7294119a96d7,True
2,fef8450f-7092-11ed-8ea0-7e8ddab09462,3D Artist / Designer / Animator ,Soca AI,Development of a metaverse-based learning platform,10,Kota Bandung,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_93ec7e4d-0083-4e54-994c-f8a406cd7f3f.jpg,2023-02-13T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-05T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,026000,f6940620-cc8b-4134-8290-7f511d8cc1a6,True
3,7659b95a-6429-11ed-b5cc-0a223dcf0f66,Academic Officers Intern,Zenius,Zenius Professionals Practice Program Angkatan 4,6,Kota Jakarta Selatan,BLENDED,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_344946d7-f9c2-4c1e-8af0-646114c7d8ad.png,2023-02-13T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-22T07:00:00+07:00,2023-01-27T07:00:00+07:00,20,016300,261f4d66-aa98-41a5-a213-a079764411a7,True
4,f5c3d0db-719b-11ed-a27c-eee683b66c25,Account Executive,Suitmedia,Suitmedia National Internship Program 2023,6,Kota Jakarta Selatan,BLENDED,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_a81e2a5b-5e10-4a12-9561-3c627723e77f.png,2023-02-01T07:00:00+07:00,2023-06-30T07:00:00+07:00,2023-01-08T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,016300,8bbe4d2b-fcb8-4bc3-a414-4393f5cb0d1b,True
5,7ec1fe92-70b6-11ed-9540-86f9589d528b,Accounting,ELZATTA DAUKY,Peran Gen Z untuk Indonesia,1,"Kec. Bandung Kulon, Kota Bandung, Jawa Barat",OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_f4582b8f-c088-4d57-95d8-9a370f5c9224.png,2023-02-10T07:00:00+07:00,2023-06-10T07:00:00+07:00,2022-12-01T07:00:00+07:00,2022-12-31T07:00:00+07:00,20,,5fb33177-7656-4eac-b184-9a187592a4e4,True
6,3f356ec2-6fb0-11ed-a7a1-0278cb7f6574,Accounting Improvement,PT ISS Indonesia,Great ISS Internship Program (GETS Program),2,Kota Tangerang Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_0f2ff0f5-9860-45ed-8d64-857e7d2125f7.png,2023-02-10T07:00:00+07:00,2023-07-10T07:00:00+07:00,2022-12-01T07:00:00+07:00,2023-01-08T07:00:00+07:00,20,286300,0aed31ee-a13d-4467-b189-885f247aa6c0,True
7,99c6bc1f-5c0d-11ed-8806-7a77835150ba,Accounting Intern,Nusantara Infrastructure,[MMN-JTSE] Pengembangan Bisnis Perusahaan melalui Optimalisasi Sumber Daya dan Analisa Peluang Improvement,1,Kota Makassar,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_38539944-f328-4d58-bef3-1d8a97f607e4.jpg,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-15T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,,33c404bb-b227-4a65-85dc-9fe9cf434e1e,True
8,c53f879e-6a30-11ed-8ebe-a6bfdab34a31,Accounting Officer,PT Bumitama Gunajaya Agro,Officer Development Program,2,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_629f2eb8-a747-4cee-a5c3-e27c8a8ec63e.png,2023-02-13T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-01T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,016300,8816b5f5-7f39-459c-ba0c-86996423c5e5,True
9,02aaaa53-60b4-11ed-aaab-4a119f027d25,Accounting Officer - Jakarta (Head Office),ASSA,ASTERIEX IV : First Journey to Become ASSA SPEED Racers!,2,Kota Jakarta Utara,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_e9d9b6c8-552b-47fd-a9da-24b9557bb28b.png,2023-02-10T07:00:00+07:00,2023-06-10T07:00:00+07:00,2022-11-15T07:00:00+07:00,2023-01-20T07:00:00+07:00,20,016100,631c1888-6d99-43db-bfff-086dafc150c3,True
10,a901972d-54d3-11ed-a443-0a3963f6cf56,Accounting & Tax Intern,Nusantara Infrastructure,Nusantara All Division ,2,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_38539944-f328-4d58-bef3-1d8a97f607e4.jpg,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-15T07:00:00+07:00,2023-02-11T07:00:00+07:00,20,,33c404bb-b227-4a65-85dc-9fe9cf434e1e,True
11,381b0795-60ba-11ed-aaab-4a119f027d25,Account Payable Officer - Jakarta (Head Office),ASSA,ASTERIEX IV : First Journey to Become ASSA SPEED Racers!,1,Kota Jakarta Utara,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_e9d9b6c8-552b-47fd-a9da-24b9557bb28b.png,2023-02-10T07:00:00+07:00,2023-06-10T07:00:00+07:00,2022-11-15T07:00:00+07:00,2023-01-20T07:00:00+07:00,20,016100,631c1888-6d99-43db-bfff-086dafc150c3,True
12,2d70b593-6f9f-11ed-ab38-feb214c74b66,Acquisition Support Staff,Surya Citra Media - EMTEK Group,SIP (SCM Internship Program),5,Kota Jakarta Pusat,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_4c560d1a-0e74-4525-9d9c-4feb95a08b71.png,2023-02-01T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-01T07:00:00+07:00,2023-02-01T07:00:00+07:00,20,016000,b409663d-e067-46e0-81d9-eb4fff33f45f,True
13,064d92bb-6fb6-11ed-b6f6-62d54cabf853,Administrasi dan Keuangan,YHC QuIP (Quality Internship Program),Improving Performance Skill Through Project Management,10,Batola dan Banjarmasin Kalimantan Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_36c92668-9a5e-4ef2-89e6-717e1c387010.png,2023-02-10T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-01T07:00:00+07:00,2023-01-20T07:00:00+07:00,20,,054b69c6-e415-4e06-be7f-491f672a68b0,True
14,4da53530-70b2-11ed-aa1c-260399e19f34,Administrasi Logistic ,ELZATTA DAUKY,Peran Gen Z untuk Indonesia,4,"Kec. Bandung Kulon, Kota Bandung, Jawa Barat",OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_f4582b8f-c088-4d57-95d8-9a370f5c9224.png,2023-02-10T07:00:00+07:00,2023-06-10T07:00:00+07:00,2022-12-01T07:00:00+07:00,2022-12-31T07:00:00+07:00,20,,5fb33177-7656-4eac-b184-9a187592a4e4,True
15,e8429b8e-7062-11ed-8312-feb214c74b66,Administration,Citiasia Inc.,Smart Cities & Smart enterprises: Co-Creation Solution & Innovation Development Internship Programs ,3,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_53530d4e-b597-4989-ba93-d03aeb8da921.png,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-29T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,016300,1d463f4f-bcd8-4125-87a9-e0c00f5328dc,True
16,258b8522-6fbc-11ed-8b84-22d0c8df9d48,Administration (Content & Channel),Surya Citra Media - EMTEK Group,SIP (SCM Internship Program),1,Kota Jakarta Pusat,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_4c560d1a-0e74-4525-9d9c-4feb95a08b71.png,2023-02-01T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-01T07:00:00+07:00,2023-02-01T07:00:00+07:00,20,016000,b409663d-e067-46e0-81d9-eb4fff33f45f,True
17,ee3da637-64e4-11ed-b74d-2af064b3727d,Administrative Assistant Intern (for Sekolah 4.0 Program),Orbit Future Academy, Orbit 4 Indonesia Internship Program,1,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_58c94cca-97a8-4618-a010-5296281e0222.jpg,2023-02-10T07:00:00+07:00,2023-07-10T07:00:00+07:00,2022-11-15T07:00:00+07:00,2023-01-10T07:00:00+07:00,20,016300,0be8abbc-2642-42b4-9ca5-4d33f4704a94,True
18,b3b696ac-6175-11ed-9958-e6768c594c9c,Admin Operation Officer  - JBA (Jakarta),ASSA,ASTERIEX IV : First Journey to Become ASSA SPEED Racers!,2,Kota Jakarta Utara,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_e9d9b6c8-552b-47fd-a9da-24b9557bb28b.png,2023-02-10T07:00:00+07:00,2023-06-10T07:00:00+07:00,2022-11-15T07:00:00+07:00,2023-01-20T07:00:00+07:00,20,016100,631c1888-6d99-43db-bfff-086dafc150c3,True
19,ecb3210d-60d8-11ed-aaab-4a119f027d25,Admin Seller Officer - JBA (Jakarta),ASSA,ASTERIEX IV : First Journey to Become ASSA SPEED Racers!,1,Kota Jakarta Utara,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_e9d9b6c8-552b-47fd-a9da-24b9557bb28b.png,2023-02-10T07:00:00+07:00,2023-06-10T07:00:00+07:00,2022-11-15T07:00:00+07:00,2023-01-20T07:00:00+07:00,20,016100,631c1888-6d99-43db-bfff-086dafc150c3,True
20,03236732-670c-11ed-98f0-d6bd1ff96cc1,Admin Tax Intern,Erajaya,Lets Grow with Erajaya,2,Kota Jakarta Barat,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_4b68b978-babc-4555-b29d-ac9ca4fe7af5.png,2023-02-16T07:00:00+07:00,2023-06-16T07:00:00+07:00,2022-12-23T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,016200,a748af00-6fc5-44c8-a820-fda83886973c,True
21,1892f030-64e4-11ed-bf50-124073a7b39a,Admission Intern,Orbit Future Academy, Orbit 4 Indonesia Internship Program,2,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_58c94cca-97a8-4618-a010-5296281e0222.jpg,2023-02-10T07:00:00+07:00,2023-07-10T07:00:00+07:00,2022-11-15T07:00:00+07:00,2023-01-10T07:00:00+07:00,20,016300,0be8abbc-2642-42b4-9ca5-4d33f4704a94,True
22,c3d24ae8-81be-11ed-afe6-e28bf6b6d14d,Affiliate Partnership & Sales,VOCASIA,Vocasia Internship Professional Edutech Program,20,Kota Jakarta Timur,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_47596fd8-2b46-4ad8-8a00-392d7c8107a2.png,2023-02-10T07:00:00+07:00,2023-06-10T07:00:00+07:00,2022-12-28T07:00:00+07:00,2023-01-20T07:00:00+07:00,20,016400,77cde2f6-fa33-4932-8847-83b3414b1877,True
23,45be6e8f-6fbc-11ed-83fd-7e8ddab09462,Agribusiness Intern,PT Petrokimia Gresik,Petrokimia Undergraduate Apprenticeship Program Cycle 4,2,Kab. Gresik,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_87fed9ce-8cc7-4c55-8727-1c02a5030d20.png,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-20T07:00:00+07:00,2023-01-06T07:00:00+07:00,20,050100,bc27aac3-8e3f-4016-9b18-cdbfa26746d8,True
24,ac152b52-6faf-11ed-9576-62d54cabf853,Agricultural Researcher Intern,PT Petrokimia Gresik,Petrokimia Undergraduate Apprenticeship Program Cycle 4,6,Kab. Gresik,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_87fed9ce-8cc7-4c55-8727-1c02a5030d20.png,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-20T07:00:00+07:00,2023-01-06T07:00:00+07:00,20,050100,bc27aac3-8e3f-4016-9b18-cdbfa26746d8,True
25,cb74cae0-6a45-11ed-98e1-a2c3ec1c6e84,Agronomy Assistant,PT Bumitama Gunajaya Agro,Planter Development Program,50,Kab. Kotawaringin Timur,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_629f2eb8-a747-4cee-a5c3-e27c8a8ec63e.png,2023-02-06T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-01T07:00:00+07:00,2023-01-15T07:00:00+07:00,20,140400,8816b5f5-7f39-459c-ba0c-86996423c5e5,True
26,65cc7c7c-6fe6-11ed-a7a1-0278cb7f6574,AI Engineer,Soca AI,Development of a metaverse-based learning platform,10,Kota Bandung,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_93ec7e4d-0083-4e54-994c-f8a406cd7f3f.jpg,2023-02-13T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-05T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,026000,f6940620-cc8b-4134-8290-7f511d8cc1a6,True
27,0c5c571c-6c97-11ed-9738-0278cb7f6574,ALFAEXPRESS SOCIAL MEDIA SPECIALIST,Alfamart,Optimalisasi Social Media Beanspot Alfaexpress,2,Kota Tangerang,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_906ac76c-6666-4a66-a24f-7dabf0340dcf.jpg,2023-02-10T07:00:00+07:00,2023-06-10T07:00:00+07:00,2022-11-25T07:00:00+07:00,2023-01-20T07:00:00+07:00,20,286100,313a80ac-21da-47fe-a999-e9d82b912be2,True
28,4fcb958a-6f8e-11ed-ab38-feb214c74b66,"Analis Data dan Laporan Perusahaan Efek, PPE-EBUS dan Mitra Pemasaran PPE",Otoritas Jasa Keuangan,Departemen Pengawasan Pasar Modal 2A,1,DKI Jakarta,BLENDED,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_4b3ea65a-1d30-4abb-8b7f-13dc36389c0d.png,2023-02-10T07:00:00+07:00,2023-06-30T07:00:00+07:00,2023-01-04T07:00:00+07:00,2023-01-20T07:00:00+07:00,20,,099f120b-b556-44fd-a9f5-a1d7b26cf4c2,True
29,5ed111a1-6f8f-11ed-8b84-22d0c8df9d48,Analis Junior Departemen Hukum,Otoritas Jasa Keuangan,Departemen Hukum,2,DKI Jakarta,BLENDED,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_4b3ea65a-1d30-4abb-8b7f-13dc36389c0d.png,2023-02-10T07:00:00+07:00,2023-06-30T07:00:00+07:00,2023-01-04T07:00:00+07:00,2023-01-20T07:00:00+07:00,20,,099f120b-b556-44fd-a9f5-a1d7b26cf4c2,True
30,f32a26c4-6ed4-11ed-818c-feb214c74b66,Analis Junior Informasi dan Administrasi Perbankan (IDAP) - Publikasi,Otoritas Jasa Keuangan, Departemen Perizinan dan Informasi Perbankan,1,DKI Jakarta,BLENDED,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_4b3ea65a-1d30-4abb-8b7f-13dc36389c0d.png,2023-02-10T07:00:00+07:00,2023-06-30T07:00:00+07:00,2023-01-04T07:00:00+07:00,2023-01-20T07:00:00+07:00,20,,099f120b-b556-44fd-a9f5-a1d7b26cf4c2,True
31,7d87f1f0-6ed9-11ed-9161-22d0c8df9d48,Analis Junior Intelejen Pasar Modal,Otoritas Jasa Keuangan,Departemen Pengawasan Pasar Modal 1B,1,DKI Jakarta,BLENDED,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_4b3ea65a-1d30-4abb-8b7f-13dc36389c0d.png,2023-02-10T07:00:00+07:00,2023-06-30T07:00:00+07:00,2023-01-04T07:00:00+07:00,2023-01-20T07:00:00+07:00,20,,099f120b-b556-44fd-a9f5-a1d7b26cf4c2,True
32,ccf0a726-6edb-11ed-818c-feb214c74b66,Analis Junior Pedoman Pemeriksaan Pengelolaan Investasi Dan Lembaga Efek,Otoritas Jasa Keuangan,Departemen Pengawasan Pasar Modal 1B,1,DKI Jakarta,BLENDED,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_4b3ea65a-1d30-4abb-8b7f-13dc36389c0d.png,2023-02-10T07:00:00+07:00,2023-06-30T07:00:00+07:00,2023-01-04T07:00:00+07:00,2023-01-20T07:00:00+07:00,20,,099f120b-b556-44fd-a9f5-a1d7b26cf4c2,True
33,e8fad18e-6ed2-11ed-86a1-563600033649,Analis Junior Pemeriksaan Khusus Perbankan,Otoritas Jasa Keuangan,Departemen Pemeriksaan Khusus Perbankan,1,DKI Jakarta,BLENDED,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_4b3ea65a-1d30-4abb-8b7f-13dc36389c0d.png,2023-02-10T07:00:00+07:00,2023-06-30T07:00:00+07:00,2023-01-04T07:00:00+07:00,2023-01-20T07:00:00+07:00,20,,099f120b-b556-44fd-a9f5-a1d7b26cf4c2,True
34,2b9d1178-6ecf-11ed-9161-22d0c8df9d48,Analis Junior Pengaturan BPR 2,Otoritas Jasa Keuangan, Departemen Penelitian dan Pengaturan Perbankan,1,DKI Jakarta,BLENDED,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_4b3ea65a-1d30-4abb-8b7f-13dc36389c0d.png,2023-02-10T07:00:00+07:00,2023-06-30T07:00:00+07:00,2023-01-04T07:00:00+07:00,2023-01-20T07:00:00+07:00,20,,099f120b-b556-44fd-a9f5-a1d7b26cf4c2,True
35,dd6bdcb5-6ecd-11ed-9161-22d0c8df9d48,Analis Junior Prudensial,Otoritas Jasa Keuangan, Departemen Penelitian dan Pengaturan Perbankan,1,DKI Jakarta,BLENDED,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_4b3ea65a-1d30-4abb-8b7f-13dc36389c0d.png,2023-02-10T07:00:00+07:00,2023-06-30T07:00:00+07:00,2023-01-04T07:00:00+07:00,2023-01-20T07:00:00+07:00,20,,099f120b-b556-44fd-a9f5-a1d7b26cf4c2,True
36,cab55ffb-6f90-11ed-8b84-22d0c8df9d48,Analis Kebijakan Penyidikan dan Satgas Waspada Investasi ,Otoritas Jasa Keuangan,Departemen Penyidikan Sektor Jasa Keuangan,2,DKI Jakarta,BLENDED,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_4b3ea65a-1d30-4abb-8b7f-13dc36389c0d.png,2023-02-10T07:00:00+07:00,2023-06-30T07:00:00+07:00,2023-01-04T07:00:00+07:00,2023-01-20T07:00:00+07:00,20,,099f120b-b556-44fd-a9f5-a1d7b26cf4c2,True
37,06f4f83e-6f8c-11ed-83fd-7e8ddab09462,Analis   Laporan Pengelolaan Investasi,Otoritas Jasa Keuangan,Departemen Pengawasan Pasar Modal 2A,1,DKI Jakarta,BLENDED,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_4b3ea65a-1d30-4abb-8b7f-13dc36389c0d.png,2023-02-10T07:00:00+07:00,2023-06-30T07:00:00+07:00,2023-01-04T07:00:00+07:00,2023-01-20T07:00:00+07:00,20,,099f120b-b556-44fd-a9f5-a1d7b26cf4c2,True
38,d3224c53-5695-11ed-92ba-cac009710b2f,Analis Transportasi,Nusantara Infrastructure,Economic Feasibility Analysis & Traffic Volume Planning of Toll Road - Makassar,2,Kota Makassar,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_38539944-f328-4d58-bef3-1d8a97f607e4.jpg,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-15T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,,33c404bb-b227-4a65-85dc-9fe9cf434e1e,True
39,81dd63d4-7081-11ed-9540-86f9589d528b," Analyst : Data Analyst, Data Engineer, Data Scientist",Kampus Merdeka Bank Indonesia (KMBI),Kampus Merdeka Bank Indonesia,65,Kota Jakarta Pusat,BLENDED,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_67c97935-33a2-4765-bcb9-3338c303c531.png,2023-02-21T07:00:00+07:00,2023-06-20T07:00:00+07:00,2022-12-15T07:00:00+07:00,2023-01-20T07:00:00+07:00,20,016000,f2442434-987b-4f9b-b5c0-6484f5d82530,True
40,b9590789-66e0-11ed-b864-9afb6f59ce88,Analyst Maintenance Strategy Intern,Trakindo,Implementasi Standard Job Development Maintenance Strategy di SOC & SOT,1,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_36e9154a-8dee-4268-b8b2-5bc121e4121b.png,2023-02-13T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-11-28T07:00:00+07:00,2023-01-20T07:00:00+07:00,20,016300,5bc2c129-6ce8-4935-a651-37bcd8ee46b1,True
41,b8ea55ea-6f95-11ed-83fd-7e8ddab09462,Android Engineer,Bluebird Group,Belajar Birdsama Bluebird,6,"Mampang Prapatan, Jakarta Selatan, DKI Jakarta",OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_344c87cc-627d-46d8-a4cb-650b8e73d167.jpg,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-23T07:00:00+07:00,2023-01-13T07:00:00+07:00,20,,ac1f94db-56fa-4a5c-8cfa-5c6c67b3f1fb,True
42,9b3928f6-705f-11ed-83e6-668d7502ff5d,Animator,Citiasia Inc.,Smart Cities & Smart enterprises: Co-Creation Solution & Innovation Development Internship Programs ,5,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_53530d4e-b597-4989-ba93-d03aeb8da921.png,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-29T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,016300,1d463f4f-bcd8-4125-87a9-e0c00f5328dc,True
43,472b113a-81bc-11ed-b579-e28bf6b6d14d,Animator,VOCASIA,Vocasia Internship Professional Edutech Program,2,Kota Jakarta Timur,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_47596fd8-2b46-4ad8-8a00-392d7c8107a2.png,2023-02-10T07:00:00+07:00,2023-06-10T07:00:00+07:00,2022-12-28T07:00:00+07:00,2023-01-20T07:00:00+07:00,20,016400,77cde2f6-fa33-4932-8847-83b3414b1877,True
44,48ffb8e7-642d-11ed-8ebb-320b4c7afbe7,Animator Intern,Zenius,Zenius Professionals Practice Program Angkatan 4,2,Kota Jakarta Selatan,BLENDED,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_344946d7-f9c2-4c1e-8af0-646114c7d8ad.png,2023-02-13T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-22T07:00:00+07:00,2023-01-27T07:00:00+07:00,20,016300,261f4d66-aa98-41a5-a213-a079764411a7,True
45,f0f344c2-55ab-11ed-9b1f-3642855f7e03,API Microservice - Creation Intern,XL Axiata,DYNAMIC SUSTAINABILITY PROGRAMS (OFFLINE INTERNSHIP),2,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_fa53cb75-1f5f-4bad-832b-4cf3dbbf28b5.jpg,2023-02-10T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-20T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,016300,c6eaa287-d3a3-4dc4-92b0-c3cabfe9a698,True
46,b95c04d5-55ab-11ed-adef-fa00dd4e79e4,API Microservice Intern,XL Axiata,DYNAMIC SUSTAINABILITY PROGRAMS (OFFLINE INTERNSHIP),1,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_fa53cb75-1f5f-4bad-832b-4cf3dbbf28b5.jpg,2023-02-10T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-20T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,016300,c6eaa287-d3a3-4dc4-92b0-c3cabfe9a698,True
47,2d49a5a4-6fe4-11ed-ab38-feb214c74b66,App Developer (Programmer),VOCASIA,Vocasia Internship Professional Edutech Program,4,Kota Jakarta Timur,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_47596fd8-2b46-4ad8-8a00-392d7c8107a2.png,2023-02-10T07:00:00+07:00,2023-06-10T07:00:00+07:00,2022-12-28T07:00:00+07:00,2023-01-20T07:00:00+07:00,20,016400,77cde2f6-fa33-4932-8847-83b3414b1877,True
48,28959f4d-6b0c-11ed-8147-a2c3ec1c6e84,Applications Development,PT Bumitama Gunajaya Agro,Officer Development Program,4,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_629f2eb8-a747-4cee-a5c3-e27c8a8ec63e.png,2023-02-13T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-01T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,016300,8816b5f5-7f39-459c-ba0c-86996423c5e5,True
49,a3c10bf1-6c9b-11ed-9738-0278cb7f6574,Arjuna (Aplikasi Penunjang Kerja) Project Intern,Bank CIMB Niaga,HR System Project Intern,2,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_de215b33-560a-4fc0-b322-6d9cc3b3a0b1.png,2023-02-10T07:00:00+07:00,2023-07-10T07:00:00+07:00,2022-12-20T07:00:00+07:00,2023-01-20T07:00:00+07:00,20,016300,7ee6d215-9ad2-4565-81c1-555e8efb1360,True
50,6039e062-60a8-11ed-b4b5-baaa6764964c,AR Officer - Bali,ASSA,ASTERIEX IV : First Journey to Become ASSA SPEED Racers!,1,Kota Jakarta Utara,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_e9d9b6c8-552b-47fd-a9da-24b9557bb28b.png,2023-02-10T07:00:00+07:00,2023-06-10T07:00:00+07:00,2022-11-15T07:00:00+07:00,2023-01-20T07:00:00+07:00,20,016100,631c1888-6d99-43db-bfff-086dafc150c3,True
51,0317a911-60aa-11ed-b3af-8a7c8006de3f,AR Officer - Bandung,ASSA,ASTERIEX IV : First Journey to Become ASSA SPEED Racers!,1,Kota Jakarta Utara,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_e9d9b6c8-552b-47fd-a9da-24b9557bb28b.png,2023-02-10T07:00:00+07:00,2023-06-10T07:00:00+07:00,2022-11-15T07:00:00+07:00,2023-01-20T07:00:00+07:00,20,016100,631c1888-6d99-43db-bfff-086dafc150c3,True
