id,name,activity_name,quotas
9ad08be3-6980-11ed-8014-f69d568c6c8e,Store Operations Intern Indomaret,Indomaret Group Intern Program  (Batch 4) ,6
bc470167-8717-11ed-8ef5-961c8f2bfd4c,Strategic PMO Intern,DYNAMIC SUSTAINABILITY PROGRAMS (OFFLINE INTERNSHIP),1
af6c1891-6fe4-11ed-a7a1-0278cb7f6574,Strategic Project & Digital Officer ,Improving Performance Skill Through Project Management,10
71ae5f81-6f9b-11ed-9576-62d54cabf853,Strategic & Transformation Office,Great ISS Internship Program (GETS Program),3
3506005b-6c76-11ed-8fcc-563600033649,Strategic Visual Communication Management Internship ,Graphic Design & Strategic Visual Communication Internship,10
fc904424-6c70-11ed-9b00-0278cb7f6574,Strategis Planner,LAWSON STRATEGIC PLANNING,2
3f489e71-6a43-11ed-a781-f69d568c6c8e,Sustainability and Community Financing Project Intern,Sustainability G20 & Community Financing Project Specialist,3
ad0d2f7a-6a37-11ed-aad2-c63f61abb566,Sustainability & CSR Officer,Officer Development Program,4
35939301-670f-11ed-98f0-d6bd1ff96cc1,Sustainability Intern,Sustainability Reporting & GHG Calculation,3
5ec08d50-6a39-11ed-8ebe-a6bfdab34a31,SWIFT MT103 For Bank Indonesia (SIMODIS) Bizchannel,Enhancement SWIFT MT103 For Bank Indonesia (SIMODIS) Bizchannel,3
cbfeaf98-6ba6-11ed-a22e-c63f61abb566,System Analyst,Implementasi dan pengembangan dalam Objective and Key Results,3
9bcf83e8-6fbe-11ed-b6f6-62d54cabf853,System Analyst,Grup Pengembangan Aplikasi Sistem Informasi,1
3bfd2125-705d-11ed-b6f6-62d54cabf853,System Analyst ,Smart Cities & Smart enterprises: Co-Creation Solution & Innovation Development Internship Programs ,2
ed570fde-6c9e-11ed-8441-22d0c8df9d48,TAF ADMINISTRATION,Pengelolaan Dokumen Keuangan Gerai Franchise,11
d9dff48c-7065-11ed-83e6-668d7502ff5d,Talent,Smart Cities & Smart enterprises: Co-Creation Solution & Innovation Development Internship Programs ,4
251dcc21-6f95-11ed-a7a1-0278cb7f6574,Talent Acquisition,Great ISS Internship Program (GETS Program),4
61dc6165-6a41-11ed-98e1-a2c3ec1c6e84,Talent Acquisition & Employee Branding Officer,Officer Development Program,3
a7c749d2-54e0-11ed-a8a3-d299d3302380,Talent Acquisition Intern,DYNAMIC SUSTAINABILITY PROGRAMS (OFFLINE INTERNSHIP),3
1fbe24d7-6f48-11ed-9576-62d54cabf853,Talent Management,Great ISS Internship Program (GETS Program),3
f1d40a0e-6ca1-11ed-9738-0278cb7f6574,TALENT MANAGEMENT,Store Leader Succession Program,1
ec18f7c9-8d60-11ed-af1a-fac4d2e980ef,Talent Management Officer,Officer Development Program,1
d91ce7e7-6fba-11ed-ab38-feb214c74b66,Talent Management & Organization Development Project Intern,HR System Project Intern,2
926f1a09-6bd7-11ed-934e-964ca1abcf1b,Talent Management Specialist,MONITORING PEMENUHAN KARYAWAN,2
4d0d0942-64e1-11ed-b74d-2af064b3727d,Talent Scout Intern for Orbit Jobs, Orbit 4 Indonesia Internship Program,2
0d2e2424-6a36-11ed-aad2-c63f61abb566,Tax Administration Officer,Officer Development Program,3
4b2d8800-60b9-11ed-9380-320b4c7afbe7,Tax Officer - Jakarta (Head Office),ASTERIEX IV : First Journey to Become ASSA SPEED Racers!,1
3ba81bd8-6fac-11ed-83fd-7e8ddab09462,Teacher Coding and Robotic,Implies Smart4.0 for Education ,10
372b2882-6f9f-11ed-a7a1-0278cb7f6574,Technical Product & Performance,Great ISS Internship Program (GETS Program),5
a23c83ec-6714-11ed-b864-9afb6f59ce88,Technical Solution Analyst Intern,777E Technical Solution Standardization,1
f629b935-74c7-11ed-b2a2-1a198d2f4c14,Technical Support ,Huawei Roll Out & Manage Service Internship,30
39603a8a-6f98-11ed-ab38-feb214c74b66,Technical Writer,Belajar Birdsama Bluebird,2
f477b52e-6bd3-11ed-934e-964ca1abcf1b,Technical Writer ,Implementasi dan pengembangan dalam Objective and Key Results,2
67992e9f-60bc-11ed-9380-320b4c7afbe7,Technology Analyst - Jakarta,ASTERIEX IV : First Journey to Become ASSA SPEED Racers!,1
6294c05b-55a5-11ed-8e0a-3642855f7e03,Technology Project Assurance Intern,DYNAMIC SUSTAINABILITY PROGRAMS (OFFLINE INTERNSHIP),1
8b7c5001-6715-11ed-bbef-2e218cacb4ef,Technology Support Analyst Intern,Minestar Maintenance Strategy Standardization,1
37d151b8-6c70-11ed-9b00-0278cb7f6574,TENANT RELATION,Optimalisasi lahan toko Alfamart yang tidak terpakai untuk disewakan ke pihak ketiga,2
195f1673-64b8-11ed-b5cc-0a223dcf0f66,Tentor Community Officers Intern,Zenius Professionals Practice Program Angkatan 4,2
ea83b352-6aeb-11ed-931a-a6bfdab34a31,Testing Specialist -Treasury System,Treasury System,3
50803fe6-6b0b-11ed-8225-d61b0e2692e7,Test Management - Customer Experience Application,Customer Experience Application,6
94babe2c-6b0d-11ed-a22e-c63f61abb566,Test Management (intern) - Core Banking Project,Core Banking Project,4
dff510fa-6b0b-11ed-8225-d61b0e2692e7,Test Management - IT Project Development Life Cycle, IT Project Development Life Cycle,3
49892501-6b0a-11ed-98f2-a6bfdab34a31,Test Management - Tech Refresh SKN,Tech Refresh SKN,4
cb6b84ca-6724-11ed-ab03-d2f881693fc9,Test Management - VA Debit Bizchannel Web,VA Debit Bizchannel Web and Mobile,3
eb515c6a-6fb7-11ed-a7a1-0278cb7f6574,Tim Penyusun Rencana Detail Tata Ruang (RDTR),MSIB Batch IV - Internship in Spatial Planning for Regional and National Growth - INSPIRING,347
8985d2e4-54e1-11ed-b2cf-8e356342aecb,Trade Marketing Intern,DYNAMIC SUSTAINABILITY PROGRAMS (OFFLINE INTERNSHIP),2
7d50f613-55a4-11ed-8e0a-3642855f7e03,Traditional Retail Intern,DYNAMIC SUSTAINABILITY PROGRAMS (OFFLINE INTERNSHIP),1
a0a783d2-6050-11ed-bb63-2e0edbdc1ce0,Traffic Generator Writer Intern,Zenius Professionals Practice Program Angkatan 4,3
0a6997ec-6a45-11ed-aad2-c63f61abb566,Training Enrollment & Vendor Management Intern,L&D Training Enrollment & Vendor Management,3
cb9d8948-559b-11ed-b209-b250481d78c3,Traning Officer,Learning Management di Head Office,7
