no_mitra,id_posisi,nama_posisi,nama_mitra,id_mitra,nama_kegiatan,kuota_posisi,lokasi_kerja,tipe_aktivitas,url_logo
129,88b75c8a-8037-11ed-be97-9aeeab388a33,Asset Management Intern,Lazada,aed64ced-1c3e-40f4-8c92-3fae1469cbc4,Program Magang Lazada Logistics Indonesia [Kelapa Gading] ,1,Kota Jakarta Utara,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_53a72f64-8e58-40c0-810d-1828e1b0aab1.jpg
130,5a542b10-6a34-11ed-8ebe-a6bfdab34a31,Asset Management Officer,PT Bumitama Gunajaya Agro,8816b5f5-7f39-459c-ba0c-86996423c5e5,Officer Development Program,1,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_629f2eb8-a747-4cee-a5c3-e27c8a8ec63e.png
131,ca2620cc-60ba-11ed-9380-320b4c7afbe7,Asset & Treasury Officer - Jakarta (Head Office),ASSA,631c1888-6d99-43db-bfff-086dafc150c3,ASTERIEX IV : First Journey to Become ASSA SPEED Racers!,1,Kota Jakarta Utara,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_e9d9b6c8-552b-47fd-a9da-24b9557bb28b.png
132,43cca923-6ccd-11ed-8fcc-563600033649,Assistant B2B  Intern,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Commercial Directorate,1,All over Indonesia,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
133,35d65c31-75e0-11ed-a033-260399e19f34,Assistant Business Analyst,Huawei,20f87c97-71f0-4bb0-a591-ed22c767891d,Huawei Roll Out & Manage Service Internship,2,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d9158ede-a886-4d35-85d2-d71779d89cae.jpg
134,96990b59-74c8-11ed-84f4-260399e19f34,Assistant Business Operation Support,Huawei,20f87c97-71f0-4bb0-a591-ed22c767891d,Huawei Roll Out & Manage Service Internship,2,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d9158ede-a886-4d35-85d2-d71779d89cae.jpg
135,b112fbef-6cd8-11ed-8fcc-563600033649,Assistant Channel Comestic Store Intern - Medan,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Commercial Directorate,1,All over Indonesia,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
136,023cec6d-6cce-11ed-98a6-964ca1abcf1b,Assistant Channel Comestic Store Intern - Semarang,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Commercial Directorate,1,All over Indonesia,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
137,fa0ffc81-6cd7-11ed-8441-22d0c8df9d48,Assistant Channel Development - CS/GT/OTHERS/LMT Intern,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Commercial Directorate,1,All over Indonesia,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
138,d6d1ecb1-6cd7-11ed-8441-22d0c8df9d48,Assistant Channel Development - Health & Beauty Intern,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Commercial Directorate,1,All over Indonesia,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
139,b4d1a5f4-6cd7-11ed-8441-22d0c8df9d48,Assistant Channel Development - Local Ecommerce Intern,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Commercial Directorate,1,All over Indonesia,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
140,7a1dcad5-6cd7-11ed-8fcc-563600033649,Assistant Channel Development - National Ecommerce Intern,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Commercial Directorate,2,All over Indonesia,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
141,4c10f0fd-6cd7-11ed-9738-0278cb7f6574,Assistant Channel Development - National Minimarket Intern ,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Commercial Directorate,1,All over Indonesia,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
142,b3a71886-6ccd-11ed-8441-22d0c8df9d48,Assistant Channel LMT Intern - Bandung,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Commercial Directorate,1,All over Indonesia,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
143,65d870a4-6cce-11ed-98a6-964ca1abcf1b,Assistant Channel LMT Intern - Jogjakarta,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Commercial Directorate,1,All over Indonesia,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
144,dc91edcf-6c67-11ed-8fcc-563600033649,Assistant CMM Wardah Face Care Intern,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Commercial Directorate,2,All over Indonesia,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
145,1eb03fa0-6c68-11ed-8fcc-563600033649,Assistant CMM Wardah Make Up Intern,Paragon Technology and Innovation,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,Commercial Directorate,2,All over Indonesia,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png
